longitude [°],latitude [°]
12.705267,61.634472
12.705221,61.634478
12.705177,61.634482
12.705134,61.634483
12.705092,61.634493
12.705044,61.634500
12.705018,61.634513
12.704975,61.634519
12.704930,61.634524
12.704869,61.634541
12.704820,61.634556
12.704776,61.634569
12.704732,61.634601
12.704695,61.634612
12.704642,61.634614
12.704605,61.634625
12.704568,61.634622
12.704528,61.634620
12.704497,61.634633
12.704469,61.634648
12.704423,61.634669
12.704396,61.634696
12.704384,61.634720
12.704351,61.634733
12.704310,61.634748
12.704265,61.634764
12.704228,61.634778
12.704201,61.634798
12.704187,61.634819
12.704168,61.634849
12.704120,61.634861
12.704083,61.634872
12.704049,61.634895
12.704023,61.634917
12.703995,61.634939
12.703960,61.634955
12.703916,61.634962
12.703870,61.634972
12.703847,61.634992
12.703820,61.635013
12.703773,61.635022
12.703739,61.635031
12.703693,61.635038
12.703633,61.635058
12.703600,61.635074
12.703557,61.635080
12.703530,61.635103
12.703498,61.635113
12.703448,61.635124
12.703407,61.635137
12.703374,61.635147
12.703350,61.635164
12.703312,61.635175
12.703273,61.635185
12.703232,61.635195
12.703189,61.635208
12.703153,61.635223
12.703114,61.635228
12.703077,61.635243
12.703028,61.635237
12.702979,61.635241
12.702928,61.635241
12.702877,61.635243
12.702828,61.635246
12.702785,61.635245
12.702730,61.635248
12.702683,61.635251
12.702640,61.635252
12.702598,61.635253
12.702560,61.635254
12.702511,61.635254
12.702465,61.635262
12.702421,61.635268
12.702381,61.635270
12.702344,61.635281
12.702334,61.635304
12.702312,61.635328
12.702294,61.635355
12.702298,61.635373
12.702258,61.635400
12.702221,61.635419
12.702175,61.635440
12.702146,61.635459
12.702128,61.635489
12.702105,61.635513
12.702085,61.635534
12.702073,61.635553
12.702078,61.635588
12.702085,61.635611
12.702093,61.635642
12.702104,61.635662
12.702096,61.635685
12.702069,61.635708
12.702038,61.635734
12.702026,61.635755
12.702041,61.635782
12.702035,61.635802
12.702017,61.635822
12.702016,61.635848
12.702041,61.635867
12.702063,61.635882
12.702108,61.635889
12.702156,61.635907
12.702190,61.635918
12.702206,61.635943
12.702225,61.635959
12.702224,61.635983
12.702214,61.636006
12.702220,61.636034
12.702219,61.636052
12.702239,61.636073
12.702231,61.636101
12.702206,61.636124
12.702181,61.636139
12.702179,61.636160
12.702138,61.636178
12.702125,61.636201
12.702117,61.636225
12.702102,61.636247
12.702102,61.636278
12.702087,61.636304
12.702080,61.636325
12.702063,61.636344
12.702016,61.636367
12.701991,61.636390
12.701996,61.636410
12.701974,61.636427
12.701973,61.636449
12.701935,61.636479
12.701926,61.636503
12.701907,61.636530
12.701901,61.636554
12.701889,61.636581
12.701877,61.636603
12.701885,61.636628
12.701882,61.636648
12.701878,61.636679
12.701858,61.636701
12.701847,61.636729
12.701832,61.636750
12.701820,61.636771
12.701825,61.636790
12.701838,61.636809
12.701812,61.636827
12.701816,61.636845
12.701827,61.636865
12.701843,61.636891
12.701873,61.636903
12.701911,61.636921
12.701930,61.636937
12.701974,61.636964
12.701984,61.636984
12.702000,61.637005
12.702015,61.637025
12.702019,61.637049
12.702028,61.637067
12.702004,61.637084
12.702006,61.637104
12.701990,61.637125
12.702043,61.637147
12.702082,61.637148
12.702123,61.637169
12.702154,61.637189
12.702220,61.637200
12.702270,61.637209
12.702292,61.637225
12.702333,61.637240
12.702378,61.637253
12.702404,61.637267
12.702445,61.637284
12.702487,61.637298
12.702547,61.637309
12.702585,61.637309
12.702628,61.637324
12.702672,61.637343
12.702705,61.637356
12.702759,61.637372
12.702798,61.637390
12.702816,61.637407
12.702871,61.637415
12.702914,61.637421
12.702948,61.637431
12.702986,61.637440
12.703018,61.637455
12.703077,61.637477
12.703119,61.637484
12.703149,61.637500
12.703189,61.637506
12.703233,61.637510
12.703283,61.637522
12.703332,61.637539
12.703379,61.637549
12.703424,61.637562
12.703455,61.637575
12.703496,61.637580
12.703550,61.637586
12.703592,61.637594
12.703651,61.637593
12.703693,61.637601
12.703740,61.637601
12.703771,61.637618
12.703806,61.637632
12.703856,61.637645
12.703909,61.637651
12.703944,61.637662
12.703962,61.637681
12.703997,61.637693
12.704030,61.637703
12.704077,61.637712
12.704127,61.637719
12.704161,61.637728
12.704220,61.637743
12.704261,61.637755
12.704312,61.637755
12.704353,61.637752
12.704405,61.637763
12.704443,61.637768
12.704478,61.637776
12.704510,61.637789
12.704561,61.637791
12.704606,61.637781
12.704643,61.637777
12.704695,61.637773
12.704733,61.637775
12.704774,61.637770
12.704812,61.637767
12.704852,61.637767
12.704900,61.637767
12.704939,61.637768
12.704987,61.637772
12.705025,61.637775
12.705068,61.637776
12.705108,61.637769
12.705146,61.637773
12.705183,61.637766
12.705226,61.637759
12.705259,61.637746
12.705299,61.637729
12.705325,61.637714
12.705359,61.637703
12.705399,61.637705
12.705443,61.637717
12.705467,61.637737
12.705472,61.637756
12.705506,61.637774
12.705545,61.637787
12.705562,61.637804
12.705579,61.637821
12.705549,61.637837
12.705546,61.637855
12.705560,61.637835
12.705563,61.637830
12.705526,61.637835
12.705555,61.637850
12.705545,61.637838
12.705544,61.637847
12.705564,61.637832
12.705535,61.637820
12.705500,61.637811
12.705557,61.637880
12.705519,61.637833
12.705533,61.637826
12.705491,61.637821
12.705529,61.637819
12.705585,61.637836
12.705550,61.637857
12.705525,61.637901
12.705469,61.637917
12.705406,61.637949
12.705608,61.637850
12.705575,61.637839
12.705625,61.637848
12.705579,61.637842
12.705683,61.637824
12.705564,61.637846
12.705577,61.637827
12.705528,61.637833
12.705569,61.637825
12.705530,61.637822
12.705487,61.637824
12.705452,61.637816
12.705451,61.637836
12.705446,61.637818
12.705476,61.637830
12.705520,61.637823
12.705564,61.637813
12.705585,61.637795
12.705590,61.637776
12.705550,61.637768
12.705549,61.637749
12.705509,61.637746
12.705467,61.637736
12.705438,61.637722
12.705417,61.637699
12.705403,61.637676
12.705357,61.637676
12.705321,61.637681
12.705297,61.637697
12.705260,61.637713
12.705218,61.637730
12.705167,61.637740
12.705124,61.637736
12.705086,61.637742
12.705045,61.637751
12.705006,61.637750
12.704944,61.637745
12.704901,61.637740
12.704846,61.637740
12.704796,61.637743
12.704744,61.637747
12.704706,61.637749
12.704656,61.637751
12.704609,61.637755
12.704568,61.637759
12.704514,61.637768
12.704471,61.637753
12.704439,61.637740
12.704400,61.637732
12.704355,61.637728
12.704307,61.637728
12.704263,61.637733
12.704222,61.637729
12.704181,61.637711
12.704150,61.637700
12.704111,61.637691
12.704054,61.637681
12.704021,61.637672
12.703970,61.637661
12.703942,61.637637
12.703910,61.637618
12.703852,61.637610
12.703801,61.637597
12.703755,61.637581
12.703710,61.637569
12.703656,61.637562
12.703611,61.637559
12.703552,61.637564
12.703516,61.637555
12.703474,61.637544
12.703424,61.637537
12.703387,61.637525
12.703351,61.637516
12.703311,61.637508
12.703271,61.637498
12.703237,61.637488
12.703183,61.637484
12.703145,61.637489
12.703095,61.637485
12.703037,61.637480
12.702996,61.637469
12.702969,61.637452
12.702935,61.637444
12.702886,61.637435
12.702844,61.637421
12.702836,61.637403
12.702847,61.637383
12.702842,61.637364
12.702793,61.637358
12.702749,61.637341
12.702716,61.637329
12.702672,61.637320
